Season,Team,Player,# of tweets,,Team,Total # of tweets,Season Ranking,,,
2021-2022,Boston,Jayson Tatum,41,,Suns,337,1,,Start Date,"October 19, 2021"
,,Jaylen Brown,40,,Grizzlies,319,2,,End Date ,"April 10, 2022"
,,Al Horford,20,,Warriors,77,3,,,
,,Marcus Smart,20,,Heat,53,4,,,
,,Derrick White,1,,Boston,122,5,,,
,,TOTAL:,122,,Pacers,94,26,,,
,Warriors,Steph Curry,40,,Thunder,75,27,,,
,,Draymond Green,20,,Pistons,20,28,,,
,,Klay Thompson,10,,Rockets,52,29,,,
,,Andrew Wiggins,5,,Magic,54,30,,,
,,Kevon Looney,2,,,,,,,
,,TOTAL:,77,,,,,,,
,Grizzlies,Steven Adams,2,,,,,,,
,,Desmond Bane,95,,,,,,,
,,Jaren Jackson,99,,,,,,,
,,Ja Morant,103,,,,,,,
,,"Ziaire Williams
",20,,,,,,,
,,TOTAL:,319,,,,,,,
,Heat,Bam Adebayo,22,,,,,,,
,,Jimmy Butler,6,,,,,,,
,,Duncan Robinson,10,,,,,,,
,,PJ Tucker,0,,,,,,,
,,Kyle Lowry,15,,,,,,,
,,TOTAL:,53,,,,,,,
,Suns,Chris Paul,43,,,,,,,
,,Devin Booker,21,,,,,,,
,,Jae Crowder,100,,,,,,,
,,Deandre Ayton,22,,,,,,,
,,Mikal Bridges,151,,,,,,,
,,TOTAL:,337,,,,,,,
,Rockets,Eric Gordon,15,,,,,,,
,,Jalen Green,4,,,,,,,
,,Kevin Porter Jr.,0,,,,,,,
,,Jaesean Tate,15,,,,,,,
,,Christian Wood,18,,,,,,,
,,TOTAL:,52,,,,,,,
,Magic,Cole Anthony,20,,,,,,,
,,Wendell Carter,13,,,,,,,
,,Mo Bamba,14,,,,,,,
,,Jalen Suggs,7,,,,,,,
,,Franz Wagner,0,,,,,,,
,,TOTAL:,54,,,,,,,
,Thunder,Darius Bazeley,38,,,,,,,
,,Luguentz Dort,0,,,,,,,
,,Josh Giddey,20,,,,,,,
,,Shai Gilgeous,0,,,,,,,
,,Jeremiah Robinson,17,,,,,,,
,,TOTAL:,75,,,,,,,
,Pacers,Malcolm Brogdon,12,,,,,,,
,,Chris Duarte,20,,,,,,,
,,Caris LeVert,0,,,,,,,
,,Domantas Sabonis,0,,,,,,,
,,Myles Turner,62,,,,,,,
,,TOTAL:,94,,,,,,,
,Pistons,Saddiq Bey,4,,,,,,,
,,Cade Cunningham,0,,,,,,,
,,Jerami Grant,16,,,,,,,
,,Corey Joseph,0,,,,,,,
,,Isaiah Stewart,0,,,,,,,
,,TOTAL:,20,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
